emp_no;salary
10221;74467
10222;71058
10223;75358
10224;65121
10225;49969
10226;89557
10227;74739
10228;96062
10229;68631
10230;61667
10231;43682
10232;104656
10233;49236
10234;102754
10235;57614
10236;92118
10237;125947
10238;67630
10239;82905
10240;78218
10241;65069
10242;69619
10243;90542
10244;63041
10245;40000
10246;67906
10247;56935
10248;77848
10249;85860
10250;65784
10251;88948
10252;55435
10253;81699
10254;85691
10255;72190
10256;109222
10257;52114
10258;110212
10259;106127
10260;76081
10261;46020
10262;77648
10263;73966
10264;66229
10265;52083
10266;81099
10267;43842
10268;49389
10269;61759
10270;57784
10271;91010
10272;67888
10273;93692
10274;97449
10275;68583
10276;57633
10277;91882
10278;61720
10279;55385
10280;80740
10281;63400
10282;47506
10283;62118
10284;46017
10285;76312
10286;46588
10287;79615
10288;96620
10289;49707
10290;62455
10291;86090
10292;106632
10293;64424
10294;66448
10295;52811
10296;106087
10297;100018
10298;43923
10299;98711
10300;101239
10301;72396
10302;91254
10303;60426
10304;121296
10305;60954
10306;58492
10307;43283
10308;85789
10309;63757
10310;56400
10311;48285
10312;91499
10313;77287
10314;87746
10315;87649
10316;40000
10317;56014
10318;99371
10319;106263
10320;92383
10321;98519
10322;72886
10323;72048
10324;76568
10325;63278
10326;52152
10327;60389
10328;51715
10329;89171
10330;97680
10331;86063
10332;65451
10333;65713
10334;43932
10335;72639
10336;77738
10337;67239
10338;46164
10339;58472
10340;93168
10341;61751
10342;74705
10343;47242
10344;59655
10345;87195
10346;81121
10347;53581
10348;58587
10349;66474
10350;55835
10351;49802
10352;44683
10353;87391
10354;64174
10355;78589
10356;60344
10357;56260
10358;90950
10359;47188
10360;43073
10361;81811
10362;54987
10363;53008
10364;94739
10365;52430
10366;60214
10367;83773
10368;56679
10369;54438
10370;46583
10371;85789
10372;85813
10373;58845
10374;73547
10375;107218
10376;65398
10377;50359
10378;92842
10379;46932
10380;104943
10381;91337
10382;52580
10383;77463
10384;78680
10385;46282
10386;88725
10387;76026
10388;68411
10389;60580
10390;57015
10391;76997
10392;73126
10393;64241
10394;40000
10395;47130
10396;74120
10397;65498
10398;72326
10399;99375
10400;85083
10401;40000
10402;67041
10403;101791
10404;87187
10405;47515
10406;51200
10407;68990
10408;78722
10409;68422
10410;47736
10411;94363
10412;84971
10413;63305
10414;51742
10415;68327
10416;99825
10417;81805
10418;61923
10419;67133
10420;87733
10421;62175
10422;61875
10423;59251
10424;74457
10425;59898
10426;98636
10427;90768
10428;59728
10429;70554
10430;48092
10431;86574
10432;63568
10433;63259
10434;51107
10435;54288
10436;73708
10437;71490
10438;72839
10439;86481
10440;62726
10441;71913
10442;61043
10443;70400
10444;103063
10445;78518
10446;60783
10447;65152
10448;68210
10449;87735
10450;50217
10451;71084
10452;51142
10453;75440
10454;110048
10455;116386
10456;60887
10457;68411
10458;100685
10459;56269
10460;42154
10461;103382
10462;50923
10463;88502
10464;64408
10465;80628
10466;56978
10467;93833
10468;62566
10469;79698
10470;65837
10471;82545
10472;52489
10473;53721
10474;72532
10475;55918
10476;86744
10477;68859
10478;54545
10479;56148
10480;59687
10481;62810
10482;92152
10483;69741
10484;53316
10485;64129
10486;100894
10487;61185
10488;58297
10489;56739
10490;80723
10491;89966
10492;88092
10493;50195
10494;66837
10495;97302
10496;49157
10497;84550
10498;51552
10499;49476
10500;54628
10501;74645
10502;60033
10503;55115
10504;48351
10505;88600
10506;46387
10507;64175
10508;67407
10509;60053
10510;98279
10511;57573
10512;70242
10513;105199
10514;52827
10515;106120
10516;101812
10517;85728
10518;60898
10519;55519
10520;51604
10521;120116
10522;73197
10523;60991
10524;88024
10525;95446
10526;71389
10527;55892
10528;81284
10529;55816
10530;97343
10531;66726
10532;122653
10533;80162
10534;43987
10535;71671
10536;84392
10537;86754
10538;95530
10539;126614
10540;70863
10541;50741
10542;56358
10543;89954
10544;56849
10545;74457
10546;69273
10547;44386
10548;126034
10549;77006
10550;70405
10551;74567
10552;86030
10553;99276
10554;79625
10555;73486
10556;87487
10557;58098
10558;90983
10559;99733
10560;46950
10561;65771
10562;76969
10563;54946
10564;61806
10565;52961
10566;56793
10567;58934
10568;80992
10569;89547
10570;104022
10571;77592
10572;67235
10573;93201
10574;47796
10575;58973
10576;89866
10577;62497
10578;72151
10579;91304
10580;54698
10581;61128
10582;49295
10583;109161
10584;105818
10585;72134
10586;64836
10587;91554
10588;66926
10589;74418
10590;84721
10591;57853
10592;74725
10593;84683
10594;69849
10595;72014
10596;70886
10597;80285
10598;43659
10599;71926
10600;79208
10601;41107
10602;65665
10603;118613
10604;79707
10605;49664
10606;74649
10607;63230
10608;41918
10609;95241
10610;59405
10611;58497
10612;55094
10613;45641
10614;71594
10615;56826
10616;93833
10617;49645
10618;55033
10619;99689
10620;76107
10621;81469
10622;66534
10623;86399
10624;59727
10625;77452
10626;46912
10627;55124
10628;81830
10629;95467
10630;52124
10631;58267
10632;84299
10633;96424
10634;66194
10635;52412
10636;48967
10637;117547
10638;57291
10639;61850
10640;82631
10641;60236
10642;49154
10643;81845
10644;81806
10645;67234
10646;60996
10647;53424
10648;72324
10649;45167
10650;69773
10651;52552
10652;53160
10653;78957
10654;68966
10655;99498
10656;64532
10657;80161
10658;77983
10659;48869
10660;44793
10661;71957
10662;75709
10663;76268
10664;78613
10665;64357
10666;112604
10667;44520
10668;66485
10669;50044
10670;97173
10671;85001
10672;73348
10673;44053
10674;46923
10675;85978
10676;63189
10677;59439
10678;95475
10679;61658
10680;46786
10681;96834
10682;63069
10683;53616
10684;47683
10685;60601
10686;76772
10687;69415
10688;114919
10689;63629
10690;100949
10691;67546
10692;93492
10693;64360
10694;77488
10695;93037
10696;79991
10697;48005
10698;59249
10699;80252
10700;49892
10701;105663
10702;76094
10703;64816
10704;57419
10705;99116
10706;73019
10707;75526
10708;46202
10709;72950
10710;89961
10711;61627
10712;60644
10713;103459
10714;52536
10715;42854
10716;78299
10717;75523
10718;100158
10719;42927
10720;59008
10721;44812
10722;85872
10723;50808
10724;60860
10725;105260
10726;61163
10727;84461
10728;67848
10729;70846
10730;65467
10731;98444
10732;56738
10733;60861
10734;60799
10735;65377
10736;61709
10737;78193
10738;78994
10739;78161
10740;65027
10741;85872
10742;79344
10743;80074
10744;98705
10745;73409
10746;58687
10747;68967
10748;73425
10749;97148
10750;42836
10751;50052
10752;55865
10753;93590
10754;91523
10755;55629
10756;48573
10757;57150
10758;59454
10759;61507
10760;49000
10761;60882
10762;74491
10763;104593
10764;96507
10765;54339
10766;41112
10767;47680
10768;102666
10769;93880
10770;65685
10771;55120
10772;57184
10773;40000
10774;69890
10775;57607
10776;95712
10777;50233
10778;101432
10779;78769
10780;45105
10781;56794
10782;49328
10783;55420
10784;48195
10785;54358
10786;47349
10787;69401
10788;67353
10789;45709
10790;66822
10791;71474
10792;81843
10793;58030
10794;59529
10795;104291
10796;50966
10797;69522
10798;57456
10799;68349
10800;61104
10801;69378
10802;69200
10803;82507
10804;44465
10805;87978
10806;79396
10807;60700
10808;65884
10809;69004
10810;63849
10811;50012
10812;51058
10813;83035
10814;83290
10815;57314
10816;68737
10817;78202
10818;50813
10819;81679
10820;87476
10821;42846
10822;77721
10823;40289
10824;60969
10825;79314
10826;79304
10827;65206
10828;61424
10829;40000
10830;71748
10831;88183
10832;99869
10833;45789
10834;65585
10835;54619
10836;99085
10837;108698
10838;70222
10839;56867
10840;52078
10841;61080
10842;70880
10843;66330
10844;53781
10845;83424
10846;48419
10847;67036
10848;87285
10849;84839
10850;73653
10851;66516
10852;73298
10853;69461
10854;51334
10855;54124
10856;51794
10857;78714
10858;58588
10859;74030
10860;47539
10861;44818
10862;106685
10863;83361
10864;86188
10865;76287
10866;66411
10867;48248
10868;82133
10869;40000
10870;91601
10871;43004
10872;62584
10873;84060
10874;84001
10875;74304
10876;68763
10877;80508
10878;84104
10879;92306
10880;64564
10881;43423
10882;49164
10883;49389
10884;56269
10885;97533
10886;56038
10887;101291
10888;49384
10889;89362
10890;95299
10891;55629
10892;60365
10893;99925
10894;72239
10895;67103
10896;46963
10897;136004
10898;74474
10899;76597
10900;56503
10901;51882
10902;44359
10903;72986
10904;70230
10905;40000
10906;71378
10907;63185
10908;65510
10909;96667
10910;65863
10911;105549
10912;76312
10913;70728
10914;55565
10915;73004
10916;55677
10917;95052
10918;59521
10919;90091
10920;61471
10921;99406
10922;53572
10923;79583
10924;108286
10925;63577
10926;71265
10927;71200
10928;61142
10929;68325
10930;65963
10931;79990
10932;52149
10933;60672
10934;60067
10935;73771
10936;61324
10937;74468
10938;108280
10939;51167
10940;80754
10941;58573
10942;46775
10943;66362
10944;54950
10945;59844
10946;72210
10947;53199
10948;47252
10949;73234
10950;43592
10951;70511
10952;44043
10953;101751
10954;48707
10955;125713
10956;55271
10957;70434
10958;75932
10959;79892
10960;70123
10961;91074
10962;100477
10963;52616
10964;85674
10965;95372
10966;80829
10967;65102
10968;102344
10969;51041
10970;49771
10971;65959
10972;69408
10973;80438
10974;62025
10975;57909
10976;42858
10977;40000
10978;86796
10979;80142
10980;85016
10981;95533
10982;76811
10983;68620
10984;52735
10985;40000
10986;72415
10987;53878
10988;86877
10989;73713
10990;64994
10991;56356
10992;84076
10993;56846
10994;45816
10995;48215
10996;65811
10997;42260
10998;68449
10999;59511
11000;70663
11001;85295
11002;55297
11003;70301
11004;65349
11005;72751
11006;65188
11007;52818
11008;87335
11009;100178
11010;107605
11011;61954
11012;78032
11013;73711
11014;66869
11015;60955
11016;77280
11017;51194
11018;86392
11019;84841
11020;70748
11021;70945
11022;102594
11023;73249
11024;95126
11025;42820
11026;82645
11027;72032
11028;67755
11029;110964
11030;49948
11031;108102
11032;52207
11033;75271
11034;60234
11035;71777
11036;79845
11037;72400
11038;89602
11039;50028
11040;84752
11041;76385
11042;54496
11043;59889
11044;61211
11045;67379
11046;85410
11047;51336
11048;71176
11049;81133
11050;83373
11051;60101
11052;51339
11053;63285
11054;40000
11055;79822
11056;89685
11057;78882
11058;70453
11059;86161
11060;57435
11061;101549
11062;68107
11063;52281
11064;72446
11065;78759
11066;59054
11067;67772
11068;68065
11069;65760
11070;79163
11071;61918
11072;52290
11073;95670
11074;54055
11075;82282
11076;51167
11077;42983
11078;70352
11079;60362
11080;76975
11081;105928
11082;46252
11083;103320
11084;75461
11085;83301
11086;68236
11087;82057
11088;61333
11089;51236
11090;45865
11091;77591
11092;82823
11093;71128
11094;60433
11095;49217
11096;74775
11097;67346
11098;47424
11099;109495
11100;64447
11101;43989
11102;73153
11103;95395
11104;64696
11105;85860
11106;108369
11107;73210
11108;59119
11109;67034
11110;49436
11111;61163
11112;52005
11113;104979
11114;53220
11115;53177
11116;61830
11117;79384
11118;64211
11119;43064
11120;115504
11121;61298
11122;63304
11123;104886
11124;93696
11125;57571
11126;63188
11127;47308
11128;85866
11129;44204
11130;49667
11131;60792
11132;53787
11133;54446
11134;79920
11135;55665
11136;70851
11137;58587
11138;53923
11139;85274
11140;44151
11141;57809
11142;51774
11143;74769
11144;66082
11145;50480
11146;118453
11147;44748
11148;79041
11149;126202
11150;108321
11151;69662
11152;63317
11153;55756
11154;49970
11155;95727
11156;45502
11157;64313
11158;54386
11159;83904
11160;43667
11161;71393
11162;106899
11163;79373
11164;91367
11165;49397
11166;53244
11167;61398
11168;83123
11169;62154
11170;69672
11171;55669
11172;103439
11173;55227
11174;47939
11175;46559
11176;86908
11177;42652
11178;59866
11179;58041
11180;70887
11181;49290
11182;85700
11183;55059
11184;66772
11185;50318
11186;48072
11187;56953
11188;99737
11189;99020
11190;80196
11191;56672
11192;50526
11193;57753
11194;95201
11195;68502
11196;63677
11197;104016
11198;71631
11199;71101
11200;68227
11201;56995
11202;55847
11203;86783
11204;73714
11205;92356
11206;78968
11207;59515
11208;92170
11209;49122
11210;69044
11211;99858
11212;94222
11213;46298
11214;84074
11215;87231
11216;67382
11217;58841
11218;65243
11219;64917
11220;45134
11221;57423
11222;81133
11223;82334
11224;58189
11225;53797
11226;95399
11227;75606
11228;59975
11229;75449
11230;54402
11231;59805
11232;63082
11233;64655
11234;77051
11235;46879
11236;66648
11237;109928
11238;60954
11239;107332
11240;97545
11241;63785
11242;65948
11243;51540
11244;83132
11245;91670
11246;50051
11247;54614
11248;74889
11249;77443
11250;80796
11251;96160
11252;57921
11253;61810
11254;55457
11255;50272
11256;79228
11257;85910
11258;67532
11259;111611
11260;52435
11261;89977
11262;66717
11263;73249
11264;95584
11265;52476
11266;47142
11267;78685
11268;67267
11269;79369
11270;64115
11271;65060
11272;96085
11273;62984
11274;43538
11275;87397
11276;71804
11277;56340
11278;76604
11279;67127
11280;81259
11281;64620
11282;89424
11283;95144
11284;83956
11285;52943
11286;108308
11287;86470
11288;60782
11289;68475
11290;72061
11291;77533
11292;66289
11293;76385
11294;70173
11295;109283
11296;55329
11297;40000
11298;97864
11299;78553
11300;51823
11301;59445
11302;54692
11303;86521
11304;82290
11305;71394
11306;96997
11307;75613
11308;62962
11309;45446
11310;93094
11311;72134
11312;69781
11313;95643
11314;65753
11315;85452
11316;50144
11317;55544
11318;105081
11319;44469
11320;69578
11321;48707
11322;61525
11323;42850
11324;91448
11325;69456
11326;61096
11327;62619
11328;97520
11329;97533
11330;74671
11331;73964
11332;59974
11333;70344
11334;76317
11335;51608
11336;74870
11337;44896
11338;87025
11339;65413
11340;67194
11341;71802
11342;42164
11343;58877
11344;72637
11345;65421
11346;83012
11347;73499
11348;62668
11349;63277
11350;66878
11351;67062
11352;63798
11353;77563
11354;73114
11355;87003
11356;83067
11357;64899
11358;71351
11359;111928
11360;83190
11361;66364
11362;105850
11363;115938
11364;44971
11365;64276
11366;51794
11367;79722
11368;56875
11369;65266
11370;64242
11371;81461
11372;64382
11373;72399
11374;56083
11375;110156
11376;73698
11377;72790
11378;76784
11379;61115
11380;68134
11381;87778
11382;65817
11383;48095
11384;59277
11385;42683
11386;79003
11387;41824
11388;74482
11389;112328
11390;40148
11391;69594
11392;68727
11393;76888
11394;61956
11395;75076
11396;57977
11397;57856
11398;57125
11399;45219
11400;41645
11401;64733
11402;125163
11403;95309
11404;63940
11405;65387
11406;106117
11407;71011
11408;71238
11409;41907
11410;50722
11411;67138
11412;90591
11413;54058
11414;93965
11415;51066
11416;83922
11417;93584
11418;53418
11419;51325
11420;57697
11421;79464
11422;65173
11423;51372
11424;64401
11425;64405
11426;87294
11427;79865
11428;47774
11429;105927
11430;83306
11431;74093
11432;54697
11433;47255
11434;73203
11435;89909
11436;67921
11437;65741
11438;65958
11439;75580
11440;54384
11441;86456
11442;70690
11443;102480
11444;62217
11445;45309
11446;52236
11447;104779
11448;50851
11449;76308
11450;71765
11451;89688
11452;64463
11453;72886
11454;65328
11455;53477
11456;48723
11457;67303
11458;82731
11459;73802
11460;65314
11461;69875
11462;79589
11463;42412
11464;63359
11465;71813
11466;68079
11467;85167
11468;89080
11469;53523
11470;61945
11471;46345
11472;91865
11473;56757
11474;70361
11475;55658
11476;69645
11477;40000
11478;99674
11479;82010
11480;94643
11481;63655
11482;119958
11483;82435
11484;78045
11485;65499
11486;145732
11487;66805
11488;81790
11489;67828
11490;44898
11491;68849
11492;64077
11493;92037
11494;69224
11495;62495
11496;66512
11497;53051
11498;55061
11499;53148
11500;74364
11501;71749
11502;43887
11503;76745
11504;86629
11505;69058
11506;101948
11507;48660
11508;90605
11509;64106
11510;43646
11511;71897
11512;71303
11513;100474
11514;64941
11515;75694
11516;42666
11517;62900
11518;58419
11519;69351
11520;98701
11521;77427
11522;56263
11523;77130
11524;52945
11525;82937
11526;79663
11527;63985
11528;68997
11529;45513
11530;74872
11531;65551
11532;59581
11533;56857
11534;55779
11535;72790
11536;73116
11537;126237
11538;79468
11539;57979
11540;85088
11541;65064
11542;73205
11543;68888
11544;54552
11545;73333
11546;108887
11547;109046
11548;48051
11549;51264
11550;50094
11551;103579
11552;76283
11553;58650
11554;57845
11555;66287
11556;110985
11557;58865
11558;48390
11559;107185
11560;71025
11561;72849
11562;97682
11563;76312
11564;87965
11565;70353
11566;62286
11567;111175
11568;75496
11569;91586
11570;78053
11571;49333
11572;69492
11573;65521
11574;48608
11575;65712
11576;93225
11577;57318
11578;81224
11579;56048
11580;78048
11581;69921
11582;60427
11583;56846
11584;81329
11585;59217
11586;94557
11587;61684
11588;40000
11589;76129
11590;49382
11591;70905
11592;64991
11593;44360
11594;63122
11595;78476
11596;60505
11597;61384
11598;69972
11599;88307
11600;61263
11601;62142
11602;69949
11603;94684
11604;93674
11605;53521
11606;49662
11607;65588
11608;105429
11609;75216
11610;77275
11611;86936
11612;64155
11613;51555
11614;98468
11615;66145
11616;57497
11617;67611
11618;74461
11619;86968
11620;43245
11621;87232
11622;72663
11623;85262
11624;72285
11625;72770
11626;52576
11627;52511
11628;76851
11629;54710
11630;48782
11631;60758
11632;78924
11633;50126
11634;45223
11635;57308
11636;61799
11637;57567
11638;95497
11639;76880
11640;86398
11641;77756
11642;50070
11643;53176
11644;87786
11645;98169
11646;59813
11647;57324
11648;63060
11649;61148
11650;45933
11651;77964
11652;59288
11653;63310
11654;53608
11655;62974
11656;71048
11657;75492
11658;61876
11659;87260
11660;93231
11661;59324
11662;80089
11663;96884
11664;91605
11665;55338
11666;88528
11667;93927
11668;98711
11669;47373
11670;94364
11671;78623
11672;100835
11673;67677
11674;63524
11675;64104
11676;53887
11677;90385
11678;94144
11679;69740
11680;98173
11681;72576
11682;72596
11683;55079
11684;113253
11685;42410
11686;47209
11687;61317
11688;76359
11689;116433
11690;50827
11691;64209
11692;81037
11693;101179
11694;57530
11695;46989
11696;81538
11697;45783
11698;100669
11699;55012
11700;68795
11701;73119
11702;111291
11703;65912
11704;60279
11705;93664
11706;64148
11707;74603
11708;73868
11709;73422
11710;43006
11711;70806
11712;43549
11713;67212
11714;40000
11715;59403
11716;70203
11717;63945
11718;68521
11719;89138
11720;59099
11721;54818
11722;54690
11723;108725
11724;49544
11725;72764
11726;70106
11727;77671
11728;73336
11729;78143
11730;101194
11731;50729
11732;47113
11733;66778
11734;52730
11735;64470
11736;61013
11737;62095
11738;70085
11739;59938
11740;109567
11741;84493
11742;63774
11743;61335
11744;58982
11745;53298
11746;83529
11747;118384
11748;70230
11749;54509
11750;48626
11751;66237
11752;73457
11753;94787
11754;47936
11755;81318
11756;61392
11757;84714
11758;52245
11759;64253
11760;73349
11761;76842
11762;52050
11763;52209
11764;79928
11765;60059
11766;66351
11767;90532
11768;63576
11769;57139
11770;65346
11771;57899
11772;68240
11773;67644
11774;41330
11775;68946
11776;109033
11777;53979
11778;58196
11779;49460
11780;72282
11781;74169
11782;60996
11783;61071
11784;62902
11785;122415
11786;53378
11787;65604
11788;92217
11789;63541
11790;65730
11791;51639
11792;73405
11793;43420
11794;61552
11795;55470
11796;93459
11797;122775
11798;117202
11799;74385
11800;51842
11801;77090
11802;84127
11803;41473
11804;82042
11805;51686
11806;53266
11807;69205
11808;89273
11809;95708
11810;64329
11811;64533
11812;73437
11813;100847
11814;43234
11815;82867
11816;74633
11817;92720
11818;70018
11819;83213
11820;63230
11821;62584
11822;82571
11823;86221
11824;62556
11825;92644
11826;78105
11827;47643
11828;91724
11829;48098
11830;82619
11831;68401
11832;47118
11833;75920
11834;97745
11835;55451
11836;60124
11837;75150
11838;73244
11839;95810
11840;91774
11841;104274
11842;69960
11843;57805
11844;112385
11845;62601
11846;76029
11847;65709
11848;69499
11849;82498
11850;87759
11851;60491
11852;77790
11853;87943
11854;60174
11855;85206
11856;64001
11857;133910
11858;47998
11859;88523
11860;71106
11861;80838
11862;73610
11863;82136
11864;60826
11865;40000
11866;53908
11867;65855
11868;56131
11869;67272
11870;109044
11871;87267
11872;57940
11873;53274
11874;85133
11875;83432
11876;68469
11877;57696
11878;83926
11879;69385
11880;104171
11881;97602
11882;72291
11883;62366
11884;89692
11885;52144
11886;55138
11887;46164
11888;67952
11889;50270
11890;92746
11891;51368
11892;64356
11893;55105
11894;80564
11895;81898
11896;67976
11897;112689
11898;52602
11899;51634
11900;101883
11901;96588
11902;46686
11903;69400
11904;81551
11905;64427
11906;88289
11907;63007
11908;122132
11909;66008
11910;75503
11911;64785
11912;77685
11913;45070
11914;73830
11915;80130
11916;67091
11917;45857
11918;75799
11919;52217
11920;103974
11921;77855
11922;52943
11923;49988
11924;73570
11925;60361
11926;46338
11927;110068
11928;55160
11929;67573
11930;50704
11931;91336
11932;52734
11933;80818
11934;53871
11935;75568
11936;99533
11937;83150
11938;58131
11939;67251
11940;67518
11941;69801
11942;121724
11943;87857
11944;65391
11945;70796
11946;77578
11947;72339
11948;66558
11949;68804
11950;75846
11951;64159
11952;67197
11953;64156
11954;89359
11955;57811
11956;89302
11957;79590
11958;81303
11959;57707
11960;64559
11961;93706
11962;69336
11963;60801
11964;72529
11965;72925
11966;88567
11967;45706
11968;78541
11969;101046
11970;42790
11971;67112
11972;67924
11973;68591
11974;81850
11975;58867
11976;106757
11977;73717
11978;64875
11979;59986
11980;64125
11981;65413
11982;76506
11983;65059
11984;74005
11985;75125
11986;72224
11987;56614
11988;90400
11989;64328
11990;85930
11991;98998
11992;62813
11993;74702
11994;63384
11995;63812
11996;72826
11997;40000
11998;86831
11999;51265
12000;64026
12001;93524
12002;45521
12003;82535
12004;62102
12005;58215
12006;50821
12007;66927
12008;68535
12009;62243
12010;66426
12011;108904
12012;88722
12013;90248
12014;83503
12015;44595
12016;49606
12017;62092
12018;47427
12019;67883
12020;99393
12021;54064
12022;69512
12023;52503
12024;71208
12025;67429
12026;86350
12027;71380
12028;63783
12029;76182
12030;48897
12031;77962
12032;69675
12033;52469
12034;43896
12035;51772
12036;100845
12037;84059
12038;71366
12039;74897
12040;70282
12041;95804
12042;54811
12043;54804
12044;65279
12045;56124
12046;76043
12047;59118
12048;96550
12049;56254
12050;73454
12051;89073
12052;42499
12053;74109
12054;74823
12055;66715
12056;69850
12057;97071
12058;75285
12059;61452
12060;55481
12061;90901
12062;50958
12063;74423
12064;63359
12065;83968
12066;104700
12067;104740
12068;51401
12069;85650
12070;74369
12071;67378
12072;71713
12073;56322
12074;62943
12075;59949
12076;107431
12077;59166
12078;55490
12079;85541
12080;68698
12081;56307
12082;105310
12083;83035
12084;45651
12085;74731
12086;92320
12087;51400
12088;74381
12089;73639
12090;53891
12091;71065
12092;49322
12093;52467
12094;66582
12095;78755
12096;73400
12097;104600
12098;85883
12099;122487
12100;111938
12101;47146
12102;105245
12103;60679
12104;50741
12105;47532
12106;57346
12107;63829
12108;77289
12109;59292
12110;52730
12111;69161
12112;95522
12113;73294
12114;45754
12115;82881
12116;50623
12117;44738
12118;50407
12119;77476
12120;99814
12121;79759
12122;76985
12123;85026
12124;83350
12125;52759
12126;75079
12127;90642
12128;83575
12129;79177
12130;76112
12131;69739
12132;46792
12133;40000
12134;88511
12135;40000
12136;76808
12137;64943
12138;46041
12139;55283
12140;50366
12141;62740
12142;74235
12143;65294
12144;48097
12145;43538
12146;88587
12147;68367
12148;42040
12149;141114
12150;63713
12151;104913
12152;92127
12153;66405
12154;81100
12155;69846
12156;55022
12157;68855
12158;53661
12159;103515
12160;84618
12161;48383
12162;53157
12163;60657
12164;54528
12165;60868
12166;43183
12167;78605
12168;52563
12169;55845
12170;49649
12171;83268
12172;63215
12173;58570
12174;53768
12175;59808
12176;58011
12177;75836
12178;80726
12179;67594
12180;71966
12181;95087
12182;90970
12183;45701
12184;104290
12185;76357
12186;86072
12187;48052
12188;52237
12189;85747
12190;46292
12191;52949
12192;70262
12193;69466
12194;61054
12195;77251
12196;47007
12197;54456
12198;68359
12199;137240
12200;65701
12201;63070
12202;46624
12203;62463
12204;58571
12205;65174
12206;82068
12207;66955
12208;85684
12209;65402
12210;62079
12211;73161
12212;40656
12213;92773
12214;88465
12215;84143
12216;48367
12217;54623
12218;60353
12219;67747
12220;59727
12221;98744
12222;75775
12223;84309
12224;72285
12225;66375
12226;49480
12227;42139
12228;51248
12229;54321
12230;68078
12231;73309
12232;110057
12233;61260
12234;64945
12235;113252
12236;83973
12237;79930
12238;55190
12239;43301
12240;46469
12241;99333
12242;61330
12243;57572
12244;82552
12245;62656
12246;63126
12247;93749
12248;45054
12249;100448
12250;86999
12251;119048
12252;67038
12253;58659
12254;44848
12255;75391
12256;72726
12257;56495
12258;64877
12259;88935
12260;83671
12261;85505
12262;79133
12263;69789
12264;61445
12265;61822
12266;53351
12267;90548
12268;51653
12269;54907
12270;77792
12271;43048
12272;75551
12273;108197
12274;40000
12275;62867
12276;76268
12277;52094
12278;48922
12279;73150
12280;84279
12281;59139
12282;43930
12283;81156
12284;70262
12285;91041
12286;65703
12287;49784
12288;66239
12289;41606
12290;89980
12291;91660
12292;84400
12293;67543
12294;98271
12295;78131
12296;78613
12297;89608
12298;72622
12299;41891
12300;64135
12301;57500
12302;60386
12303;40000
12304;74589
12305;45537
12306;119562
12307;62745
12308;93238
12309;53089
12310;92919
12311;74446
12312;66646
12313;73449
12314;59499
12315;79645
12316;69131
12317;47025
12318;81643
12319;55966
12320;89917
12321;113551
12322;60478
12323;55591
12324;89264
12325;89485
12326;61650
12327;99253
12328;62747
12329;74470
12330;54310
